canonical_sku,article_aliases,name_samples,seen_in_tsum,seen_in_cost,in_intersection,tsum_qty_total,tsum_amount_total
0-3133A,0-3133А,ЖИЛЕТ,N,Y,N,0.0,0.0
0-3134,0-3134,ШОРТЫ,N,Y,N,0.0,0.0
0-3135,0-3135,БЛУЗА,N,Y,N,0.0,0.0
0-3135A,0-3135А,БЛУЗОН,N,Y,N,0.0,0.0
0-3136,0-3136,БРЮКИ,N,Y,N,0.0,0.0
0-3136A,0-3136А,БРЮКИ,N,Y,N,0.0,0.0
0-3137,0-3137,КИМОНО | ПАЛЬТО,N,Y,N,0.0,0.0
0-3137A,0-3137А,КИМОНО,N,Y,N,0.0,0.0
0-3138,0-3138,МАЙКА | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3139,0-3139,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3140,0-3140,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3140A,0-3140А | 0-3140а,ПЛАТЬЕ | Платье шифоновое с бабочками,N,Y,N,0.0,0.0
0-3141,0-3141,ВЫШИВКА | КАФТАН,N,Y,N,0.0,0.0
0-3141A,0-3141А | 0-3141а,КАФТАН | кафтан,N,Y,N,0.0,0.0
0-3142,0-3142,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3143,0-3143,ФРЕНЧ | френч,N,Y,N,0.0,0.0
0-3143A,0-3143А,ФРЕНЧ,N,Y,N,0.0,0.0
0-3144,0-3144,ПЛАТЬЕ | туника гжель,N,Y,N,0.0,0.0
0-3144A,0-3144А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3145,0-3145,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3145A,0-3145А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3146,0-3146,РУБАШКА,N,Y,N,0.0,0.0
0-3147,0-3147,ПЛАТЬЕ | Платье Халат,N,Y,N,0.0,0.0
0-3148,0-3148,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3151,0-3151,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3152,0-3152 | 0-3152/1,"КАФТАН | кафтан длинный, батист с авторским принтом ""горох""",N,Y,N,0.0,0.0
0-3152A,0-3152А,КАФТАН,N,Y,N,0.0,0.0
0-3152B,0-3152В | 0-3152В/2,ВЫШИВКА | КАФТАН,N,Y,N,0.0,0.0
0-3153,0-3153,ЖАКЕТ | ЖИЛЕТ,N,Y,N,0.0,0.0
0-3154,0-3154,БЛУЗА | рубашка,N,Y,N,0.0,0.0
0-3154A,0-3154а,рубашка,N,Y,N,0.0,0.0
0-3154C,0-3154С,БЛУЗА,N,Y,N,0.0,0.0
0-3155,0-3155,ШОРТЫ | шорты,N,Y,N,0.0,0.0
0-3156,0-3156,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3156B,0-3156в,брюки,N,Y,N,0.0,0.0
0-3156C,0-3156С,БРЮКИ,N,Y,N,0.0,0.0
0-3156Д,0-3156Д,БРЮКИ,N,Y,N,0.0,0.0
0-3157,0-3157,ВЫШИВКА | КЕЙП,N,Y,N,0.0,0.0
0-3157A,0-3157А,КЕЙП,N,Y,N,0.0,0.0
0-3157C,0-3157С,КЕЙП,N,Y,N,0.0,0.0
0-3158,0-3158,ЖИЛЕТ,N,Y,N,0.0,0.0
0-3159,0-3159,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3159A,0-3159А,ЮБКА,N,Y,N,0.0,0.0
0-3160,0-3160,ПЛАТЬЕ | ПЛАТЬЕ(блуза),N,Y,N,0.0,0.0
0-3160A,0-3160А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3161,0-3161,БРОШЬ | пальто-халат,N,Y,N,0.0,0.0
0-3162,0-3162,КИМОНО,N,Y,N,0.0,0.0
0-3163,0-3163,БРЮКИ,N,Y,N,0.0,0.0
0-3164,0-3164,ТОП,N,Y,N,0.0,0.0
0-31640-2917,0-3164 0-2917,ТОП,N,Y,N,0.0,0.0
0-3165,0-3165,ПЛАТЬЕ | ПОЯС,N,Y,N,0.0,0.0
0-3166,0-3166,РУБАШКА,N,Y,N,0.0,0.0
0-3167,0-3167 | 0-3167/1 | 0-3167/2 | 0-3167/а,ЖИЛЕТ | накидка,N,Y,N,0.0,0.0
0-3167A,0-3167А | 0-3167А/2 | 0-3167а/2,ЖИЛЕТ | накидка,N,Y,N,0.0,0.0
0-3168,0-3168,РУБАШКА,N,Y,N,0.0,0.0
0-3168A,0-3168А,РУБАШКА,N,Y,N,0.0,0.0
0-3168B,0-3168В | 0-3168в,РУБАШКА | рубашка,N,Y,N,0.0,0.0
0-3171,0-3171,ДЖИНСЫ | брюки,N,Y,N,0.0,0.0
0-3172,0-3172,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3178,0-3178,ВЫШИВКА | МАЙКА,N,Y,N,0.0,0.0
0-3179,0-3179,ФУТБОЛКА | ФУТБОЛКИ,N,Y,N,0.0,0.0
0-31790-3178,0-3179        0-3178,ФУТБОЛКИ,N,Y,N,0.0,0.0
0-3179A,0-3179А,ФУТБОЛКА,N,Y,N,0.0,0.0
0-3182,0-3182,БЛУЗОН | СВИТШОТ,N,Y,N,0.0,0.0
0-3182A,0-3182A,СВИТШОТ,N,Y,N,0.0,0.0
0-3183,0-3183,ЮБКА,N,Y,N,0.0,0.0
0-3183A,0-3183А,ЮБКА,N,Y,N,0.0,0.0
0-3184,0-3184,Бомбер из бархата с оборками из тафты на рукавах,N,Y,N,0.0,0.0
0-3185,0-3185,БЛУЗА,N,Y,N,0.0,0.0
0-3188,0-3188,ДУБЛЕНКА,N,Y,N,0.0,0.0
0-3189,0-3189,ДУБЛЕНКА | дубленка,N,Y,N,0.0,0.0
0-3190,0-3190,ПАЛЬТО,N,Y,N,0.0,0.0
0-3191,0-3191,БЛУЗОН | блузон н/п,N,Y,N,0.0,0.0
0-3191A,0-3191А,БЛУЗА,N,Y,N,0.0,0.0
0-3192,0-3192,КЕЙП | мех,N,Y,N,0.0,0.0
0-3193,0-3193,КУРТКА,N,Y,N,0.0,0.0
0-3194,0-3194,палантин,N,Y,N,0.0,0.0
0-3195,0-3195,КУРТКА | рубашка с пояс/карман,N,Y,N,0.0,0.0
0-3196,0-3196,КУРТКА | бомбер,N,Y,N,0.0,0.0
0-3197,0-3197,КИМОНО | ЮБКА,N,Y,N,0.0,0.0
0-3198,0-3198,ПАЛЬТО | пальто,N,Y,N,0.0,0.0
0-3198A,0-3198А,ПАЛЬТО | пальто с выш,N,Y,N,0.0,0.0
0-3198B.C,0-3198В.С,ПАЛЬТО,N,Y,N,0.0,0.0
0-3199,0-3199,ПАЛЬТО,N,Y,N,0.0,0.0
0-3200,0-3200,ПАЛЬТО | пальто,N,Y,N,0.0,0.0
0-3201,0-3201,ДУБЛЕНКА,N,Y,N,0.0,0.0
0-3202,0-3202,КУРТКА | куртка парка,N,Y,N,0.0,0.0
0-3203,0-3203,КУРТКА | куртка кожа,N,Y,N,0.0,0.0
0-3204,0-3204,КУРТКА,N,Y,N,0.0,0.0
0-3205,0-3205,КУРТКА | куртка парка с выш,N,Y,N,0.0,0.0
0-3206,0-3206,ЖАКЕТ | жакет,N,Y,N,0.0,0.0
0-3207,0-3207,ЮБКА,N,Y,N,0.0,0.0
0-3209C,0-3209С | 0-3209С/1,"Брюки  Черный
Стрейч бархат | Брюки из бархата",N,Y,N,0.0,0.0
0-3210,0-3210,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3211,0-3211,ПАЛЬТО | пальто,N,Y,N,0.0,0.0
0-3212,0-3212,"ПЛАТЬЕ | платье ""сер.колье""",N,Y,N,0.0,0.0
0-3221E,0-3221Е,СВИТЕР,N,Y,N,0.0,0.0
0-3222,0-3222,СВИТЕР,N,Y,N,0.0,0.0
0-3222E,0-3222Е,СВИТЕР,N,Y,N,0.0,0.0
0-3222F,0-3222F,СВИТЕР,N,Y,N,0.0,0.0
0-3222Д,0-3222Д | 0-3222Д/1,СВИТЕР,N,Y,N,0.0,0.0
0-3223,0-3223,СВИТЕР,N,Y,N,0.0,0.0
0-3223Д,0-3223Д,СВИТЕР,N,Y,N,0.0,0.0
0-3224,0-3224,ЖАКЕТ | жакет,N,Y,N,0.0,0.0
"0-3224A,B","0-3224А,В",ЖАКЕТ,N,Y,N,0.0,0.0
"0-3224C,Д","0-3224С,Д",ЖАКЕТ,N,Y,N,0.0,0.0
0-3225,0-3225,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3226,0-3226,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3227,0-3227,ЮБКА,N,Y,N,0.0,0.0
0-3228,0-3228,ЮБКА,N,Y,N,0.0,0.0
0-3229,0-3229,ЖАКЕТ | жакет с выш,N,Y,N,0.0,0.0
0-3230,0-3230,БРЮКИ | брюки + переделка,N,Y,N,0.0,0.0
0-3231,0-3231,КУРТКА | жакет н/п,N,Y,N,0.0,0.0
"0-3231A,B","0-3231А,В",куртка,N,Y,N,0.0,0.0
0-3232,0-3232,БЛУЗА | блуза + переделка,N,Y,N,0.0,0.0
0-3233,0-3233,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3234,0-3234,ПЛАТЬЕ | платье М,N,Y,N,0.0,0.0
0-3238,0-3238,Жакет из ткани шанель,N,Y,N,0.0,0.0
0-3239,0-3239,Шорты из ткани шанель,N,Y,N,0.0,0.0
0-3240,0-3240,Юбка А-силуэт из сетки | Юбка лагатола сетка,N,Y,N,0.0,0.0
0-3241,0-3241,БАЛЕРО | ФИГАРО,N,Y,N,0.0,0.0
0-3242,0-3242,КЕЙП,N,Y,N,0.0,0.0
0-3243,0-3243,Худи из плотного футера,N,Y,N,0.0,0.0
0-3244,0-3244,Юбка из костюмной ткани,N,Y,N,0.0,0.0
0-3245,0-3245,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3246A,0-3246 А,"Брюки классические со стрелками, длина 7/8 
без карманов",N,Y,N,0.0,0.0
0-3246B,0-3246 В,"Брюки бананы с отворотами, с карманами",N,Y,N,0.0,0.0
0-3247,0-3247,РУБАШКА,N,Y,N,0.0,0.0
0-3248,0-3248,Юбка Баска А-силуэт из сетки,N,Y,N,0.0,0.0
0-3249,0-3249,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3250,0-3250,ПЕРЕДЕЛКА юбка | ЮБКА,N,Y,N,0.0,0.0
0-3251,0-3251,БЛУЗА | ТОП,N,Y,N,0.0,0.0
0-3252,0-3252,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3253,0-3253,ПАЛАНТИН,N,Y,N,0.0,0.0
0-3254,0-3254,Платье А-силуэт декор буфами,N,Y,N,0.0,0.0
0-3255,0-3255,Блуза декор буфами,N,Y,N,0.0,0.0
0-3257,0-3257,ЮБКА,N,Y,N,0.0,0.0
"0-3257A,B","0-3257А,В",ЮБКА,N,Y,N,0.0,0.0
0-3257C,0-3257с,юбка,N,Y,N,0.0,0.0
0-3258,0-3258,ЮБКА | юбка,N,Y,N,0.0,0.0
0-3259,0-3259,ПЛАТОК,N,Y,N,0.0,0.0
0-3260,0-3260,ТОП | топ,N,Y,N,0.0,0.0
0-3261,0-3261,ГАРЖЕТКА | накидка горжетка,N,Y,N,0.0,0.0
0-3262,0-3262,бант-стойка,N,Y,N,0.0,0.0
"0-3262,64","0-3262,64","СТОЙКА,МАНЖЕТЫ",N,Y,N,0.0,0.0
0-3263,0-3263,бант-стойка,N,Y,N,0.0,0.0
0-3264,0-3264,манжеты | манжеты с выш,N,Y,N,0.0,0.0
0-3264A,0-3264а,манжеты,N,Y,N,0.0,0.0
0-3265,0-3265,ПЛАТОК | платок,N,Y,N,0.0,0.0
0-3265A,0-3265а,платок | шейн платок,N,Y,N,0.0,0.0
0-3266,0-3266,ШАРФИК | шарф,N,Y,N,0.0,0.0
0-3267,0-3267,ПАЛАНТИН,N,Y,N,0.0,0.0
0-3267A,0-3267А,ПАЛАНТИН,N,Y,N,0.0,0.0
0-3267B,0-3267В,ПАЛАНТИН | палантин,N,Y,N,0.0,0.0
0-3270,0-3270,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3270A,0-3270а,платье,N,Y,N,0.0,0.0
0-3271,0-3271,жакет | жакет н/п,N,Y,N,0.0,0.0
0-3272,0-3272,юбка | юбка н/п,N,Y,N,0.0,0.0
0-3273,0-3273,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3274,0-3274,ЖАКЕТ | РАСШИВКА,N,Y,N,0.0,0.0
0-3275,0-3275,БРЮКИ | брюки,N,Y,N,0.0,0.0
0-3276,0-3276,БЛУЗОН | блузон,N,Y,N,0.0,0.0
0-3277,0-3277,платье,N,Y,N,0.0,0.0
0-3277A,0-3277А | 0-3277а,ПЕРЕДЕЛКА платье | платье,N,Y,N,0.0,0.0
0-3278,0-3278,БЛУЗОН | блузон с выш,N,Y,N,0.0,0.0
0-3278A,0-3278А,БЛУЗОН,N,Y,N,0.0,0.0
0-3279,0-3279,МАНЖЕТЫ | манжеты,N,Y,N,0.0,0.0
0-3280,0-3280,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3281,0-3281,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3282,0-3282,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3283,0-3283,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3284,0-3284,КОРСЕТ,N,Y,N,0.0,0.0
0-3285,0-3285,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3286,0-3286,БРЮКИ | ЮБКА-БРЮКИ,N,Y,N,0.0,0.0
0-3293,0-3293,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3293A,0-3293А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3294,0-3294,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3295,0-3295,платье с драпиров S,N,Y,N,0.0,0.0
0-3295A,0-3295a,платье с драпиров L | платье с драпиров S,N,Y,N,0.0,0.0
0-3295B,0-3295в,платье с драпиров L | платье с драпиров S,N,Y,N,0.0,0.0
0-3296,0-3296,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3297,0-3297,ПЛАТЬЕ | Платье с вышивкой камнями,N,Y,N,0.0,0.0
0-3298,0-3298,платье М,N,Y,N,0.0,0.0
0-3299,0-3299,платье S | платье М,N,Y,N,0.0,0.0
0-3300,0-3300,БЛУЗА | блуза,N,Y,N,0.0,0.0
0-3301,0-3301,ЮБКА,N,Y,N,0.0,0.0
0-3302,0-3302,платье-кейп,N,Y,N,0.0,0.0
0-3302A,0-3302А,платье-кейп,N,Y,N,0.0,0.0
0-3302B,0-3302В,платье-кейп,N,Y,N,0.0,0.0
0-3303,0-3303,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3305,0-3305,ПЛАТЬЕ,N,Y,N,0.0,0.0
"0-3305,A,B","0-3305,А,В",ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3306,0-3306,БРАСЛЕТЫ,N,Y,N,0.0,0.0
0-3307,0-3307,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3307A,0-3307А,ПЛАТЬЕ | платье,N,Y,N,0.0,0.0
0-3308,0-3308,платье L | платье S,N,Y,N,0.0,0.0
0-3309,0-3309,ПЕРЕДЕЛКА платье,N,Y,N,0.0,0.0
0-3310,0-3310,ПЕРЕДЕЛКА топа | топ н/п,N,Y,N,0.0,0.0
0-3311,0-3311,ПЕРЕДЕЛКА брюк | брюки,N,Y,N,0.0,0.0
0-3313,0-3313,ПАЛЬТО,N,Y,N,0.0,0.0
0-3313A,0-3313А,ПАЛЬТО,N,Y,N,0.0,0.0
0-3314,0-3314,ПАЛЬТО,N,Y,N,0.0,0.0
0-3314A,0-3314А,ПАЛЬТО,N,Y,N,0.0,0.0
0-3314B,0-3314В,ПАЛЬТО,N,Y,N,0.0,0.0
0-3315,0-3315,ПАЛЬТО,N,Y,N,0.0,0.0
0-3315A,0-3315А,ПАЛЬТО,N,Y,N,0.0,0.0
0-3316,0-3316,ПАЛЬТО,N,Y,N,0.0,0.0
0-3316A,0-3316А,ПАЛЬТО,N,Y,N,0.0,0.0
0-3317,0-3317,ПАЛЬТО,N,Y,N,0.0,0.0
0-3322,0-3322,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3323,0-3323,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3324,0-3324,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3325,0-3325,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3326,0-3326,КОМБЕНИЗОН,N,Y,N,0.0,0.0
0-3330,0-3330,ПЛПТЬЕ,N,Y,N,0.0,0.0
0-3331,0-3331,БРАСЛЕТЫ,N,Y,N,0.0,0.0
0-3331A,0-3331А,БРАСЛЕТ | БРАСЛЕТЫ,N,Y,N,0.0,0.0
0-3332,0-3332,МИТЕНКИ,N,Y,N,0.0,0.0
0-3335,0-3335,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3336,0-3336,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3337,0-3337,Блуза из искусственной органзы с вышитыми карманами,N,Y,N,0.0,0.0
0-3338,0-3338,Блуза из кружева без карманов,N,Y,N,0.0,0.0
0-3338A,0-3338А,Блуза из кружева без карманов,N,Y,N,0.0,0.0
0-3338B,0-3338В,Блуза из кружева без карманов,N,Y,N,0.0,0.0
0-3339,0-3339 | 0-3339 / 10 нижнее платье,Платье Комбинация | Платье из шифона без подклада,N,Y,N,0.0,0.0
0-3339A,0-3339А,"Платье из шифона без подклада с вышитым воротником стойкой
+
Платье комбинация",N,Y,N,0.0,0.0
0-3340,0-3340,Блуза с рукавом летучая мышь | Блуза с рукавом летучая мышь из натурального шелка,N,Y,N,0.0,0.0
0-3341,0-3341,Брюки зауженные | Брюки зауженные из костюмной ткани,N,Y,N,0.0,0.0
0-3342,0-3342,Брюки  прямые из костюмной ткани | Брюки прямые,N,Y,N,0.0,0.0
0-3342A,0-3342А,Брюки  прямые из костюмной ткани,N,Y,N,0.0,0.0
0-3344,0-3344,Платье из шелка  отрезное по талии с юбкой плиссеровкой,N,Y,N,0.0,0.0
0-3346,0-3346,Платье из Стрейч-бархата двубортное на потайной кнопке | Платье из стрейч-бархата с поясом с кисточками,N,Y,N,0.0,0.0
0-3347,0-3347,Жакет бархатный с поясом бахромой | Жакет двубортный из стрейч-бархата,N,Y,N,0.0,0.0
0-3348,0-3348,Брюки бархатные | Брюки палаццо  из стрейч-бархата,N,Y,N,0.0,0.0
0-3349,0-3349,БРЮКИ,N,Y,N,0.0,0.0
0-3351,0-3351,РУБАШКА,N,Y,N,0.0,0.0
0-3352,0-3352,ЮБКА,N,Y,N,0.0,0.0
0-3353,0-3353,ЖАКЕТ,N,Y,N,0.0,0.0
0-3354,0-3354,ЮБКА,N,Y,N,0.0,0.0
0-3355,0-3355,Блуза из натурального шифона без подклада | Блуза из шифона без подклада,N,Y,N,0.0,0.0
0-3355A,0-3355А,Блуза из шифона без подклада,N,Y,N,0.0,0.0
0-3356,0-3356,Платье из натурального шелка без подклада,N,Y,N,0.0,0.0
0-3357,0-3357,Плащ больших форм,N,Y,N,0.0,0.0
0-3357A,0-3357А,Плащ больших форм,N,Y,N,0.0,0.0
0-3358,0-3358,Блуза из искусственной органзы с вышитыми карманами | Блузка из шифона с отрезной кокеткой из сеткИ с камнями,N,Y,N,0.0,0.0
0-3359,0-3359,Блуза пижамная из экошелка,N,Y,N,0.0,0.0
0-3360,0-3360,Брюки пижамные из экошелка,N,Y,N,0.0,0.0
0-3361,0-3361,"Жакет классический двубортный в полоску | Жакет классический двубортный в полоску
СЕРЫЙ",N,Y,N,0.0,0.0
0-3362,0-3362,ТОП,N,Y,N,0.0,0.0
0-3363,0-3363,Топ на тонких бретелях,N,Y,N,0.0,0.0
0-3363A,0-3363А,Топ на тонких бретелях,N,Y,N,0.0,0.0
0-3364,0-3364,БЛУЗА | Брошь,N,Y,N,0.0,0.0
0-3365,0-3365,БЛУЗОН,N,Y,N,0.0,0.0
0-3366,0-3366,ТОП,N,Y,N,0.0,0.0
0-3367,0-3367,ШОРТЫ,N,Y,N,0.0,0.0
0-3368,0-3368,Жакет Пижамный,N,Y,N,0.0,0.0
0-3368A,0-3368А,Жакет Пижамный,N,Y,N,0.0,0.0
0-3368B,0-3368В,Жакет Пижамный,N,Y,N,0.0,0.0
0-3369,0-3369,Брюки пижамные,N,Y,N,0.0,0.0
0-3369A,0-3369А,Брюки пижамные,N,Y,N,0.0,0.0
0-3369B,0-3369В,Брюки пижамные,N,Y,N,0.0,0.0
0-3370,0-3370,Топ с кружевом,N,Y,N,0.0,0.0
0-3370A,0-3370А,Топ с кружевом,N,Y,N,0.0,0.0
0-3370B,0-3370В,Топ с кружевом,N,Y,N,0.0,0.0
0-3371,0-3371,"Рубашка пижамная | Рубашка пижамная
принт Вишни",N,Y,N,0.0,0.0
0-3371A,0-3371А | 0-3371а,БЛУЗА | Рубашка пижамная,N,Y,N,0.0,0.0
0-3371B,0-3371В,Рубашка пижамная,N,Y,N,0.0,0.0
0-3371C,0-3371С,БЛУЗА | Рубашка пижамная,N,Y,N,0.0,0.0
0-3372,0-3372,"Брюки | Брюки
принт Вишни",N,Y,N,0.0,0.0
0-3372A,0-3372А,БРЮКИ | Брюки,N,Y,N,0.0,0.0
0-3372B,0-3372В,Брюки,N,Y,N,0.0,0.0
0-3372C,0-3372С,"Брюки | Брюки
принт Вишни",N,Y,N,0.0,0.0
0-3373,0-3373,Шорты | Шорты принт Вишни,N,Y,N,0.0,0.0
0-3373A,0-3373А,Шорты | Шорты принт Вишни,N,Y,N,0.0,0.0
0-3373B,0-3373В,Шорты,N,Y,N,0.0,0.0
0-3373C,0-3373С,Шорты | Шорты принт Вишни,N,Y,N,0.0,0.0
0-3374,0-3374,БЛУЗА | ЛЕКАЛА,N,Y,N,0.0,0.0
0-3375,0-3375,ЛЕКАЛА | ЮБКА,N,Y,N,0.0,0.0
0-3376,0-3376,ЮБКА,N,Y,N,0.0,0.0
0-3377,0-3377,КОЛЬЕ,N,Y,N,0.0,0.0
0-3378,0-3378,БЛУЗА | ЛЕКАЛА,N,Y,N,0.0,0.0
0-3379,0-3379,БЛУЗА,N,Y,N,0.0,0.0
0-3380,0-3380,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3380C,0-3380С | 0-3380с,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3384,0-3384,Кафтан накидка с бахромой,N,Y,N,0.0,0.0
0-3385,0-3385,БЛУЗА | ЛЕКАЛА,N,Y,N,0.0,0.0
0-3385A,0-3385А,БЛУЗА,N,Y,N,0.0,0.0
0-3386,0-3386,Брюки палаццо с 2-мя складками,N,Y,N,0.0,0.0
0-3387,0-3387,Блузка с бантом из шелка,N,Y,N,0.0,0.0
0-3387A,0-3387А,Блузка с бантом из шелка,N,Y,N,0.0,0.0
0-3388,0-3388,Брюки шелковые,N,Y,N,0.0,0.0
0-3388A,0-3388А,Брюки шелковые,N,Y,N,0.0,0.0
0-3389,0-3389,БЛУЗА | ЛЕКАЛА,N,Y,N,0.0,0.0
0-3395,0-3395,ЛЕКАЛА | ПЛАТЬЕ,N,Y,N,0.0,0.0
"0-3395,0-3395A","0-3395,0-3395А",ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3396,0-3396,ЛЕКАЛА | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3396A,0-3396А,платье,N,Y,N,0.0,0.0
0-3397,0-3397,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3398,0-3398,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3400,0-3400,ПЛАТЬЕ,N,Y,N,0.0,0.0
"0-3401,0-3401A","0-3401,0-3401А",ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3402,0-3402,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3403,0-3403,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3405,0-3405,ЛЕКАЛА | САРАФАН,N,Y,N,0.0,0.0
0-3405A,0-3405А,ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3406,0-3406,ЛЕКАЛА | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3407,0-3407,ЛЕКАЛА | ПЛАТЬЕ,N,Y,N,0.0,0.0
0-3409,0-3409,ПЕРЕДЕЛКА,N,Y,N,0.0,0.0
0-3412,0-3412,Комбенизон с шортами,N,Y,N,0.0,0.0
0-3414,0-3414,БЛУЗА | ВЫШИВКА,N,Y,N,0.0,0.0
0-3414A,0-3414А,БЛУЗА,N,Y,N,0.0,0.0
0-3415,0-3415,БЛУЗА | ЛЕКАЛА,N,Y,N,0.0,0.0
0-3416,0-3416,Брюки палаццо с 2-мя складками,N,Y,N,0.0,0.0
0-3419,0-3419,РУБАШКА,N,Y,N,0.0,0.0
0-3420,0-3420,БРЮКИ,N,Y,N,0.0,0.0
0-3421,0-3421,Пояс бархат с кисточками | Пояс бархатный с кисточками,N,Y,N,0.0,0.0
0-3422,0-3422,Пояс бархат с Бахромой | Пояс бархатный с бахромой,N,Y,N,0.0,0.0
"0-3423
(0-3339","0-3423
(0-3339/10)",Платье Комбинация их экошелка,N,Y,N,0.0,0.0
0-3424,0-3424,РУБАШКА,N,Y,N,0.0,0.0
0-3425,0-3425,ШОРТЫ,N,Y,N,0.0,0.0
0-3426,0-3426,ПЕРЕДЕЛКА,N,Y,N,0.0,0.0
0-3432,0-3432,СВИТШОТ,N,Y,N,0.0,0.0
0-43-24,0-43-24,ПОЛОЧКА,N,Y,N,0.0,0.0
0-963,0-963,РУКАВА,N,Y,N,0.0,0.0
03373A,03373А,ШОРТЫ,N,Y,N,0.0,0.0
17-17,17-17,платье,N,Y,N,0.0,0.0
18-16,18-16,платье,N,Y,N,0.0,0.0
18-19,18-19,куртка,N,Y,N,0.0,0.0
2328Д,2328Д,ЮБКА,N,Y,N,0.0,0.0
24A,24А,ПАЛАНТИН,N,Y,N,0.0,0.0
29-15,29-15,платье,N,Y,N,0.0,0.0
29-35,29-35,юбка дюшес,N,Y,N,0.0,0.0
30-15,30-15,жакет,N,Y,N,0.0,0.0
30-16,30-16,юбка,N,Y,N,0.0,0.0
30-17,30-17,юбка,N,Y,N,0.0,0.0
31-05,31-05,блуза | юбка,N,Y,N,0.0,0.0
31-3442-07,31-34    42-07,платье микс,N,Y,N,0.0,0.0
33-04,33-04,платье,N,Y,N,0.0,0.0
33-24,33-24,платье,N,Y,N,0.0,0.0
33-26,33-26,платье,N,Y,N,0.0,0.0
34-08,34-08,жакет | юбка,N,Y,N,0.0,0.0
34-09,34-09,брюки | жакет,N,Y,N,0.0,0.0
35-15,35-15,блузон,N,Y,N,0.0,0.0
36-01,36-01,жакет,N,Y,N,0.0,0.0
36-05,36-05,жакет | жакет камешки,N,Y,N,0.0,0.0
36-12,36-12,жакет барс,N,Y,N,0.0,0.0
38-07,38-07,БРЮКИ | брюки,N,Y,N,0.0,0.0
38-12,38-12,ЖАКЕТ | жакет,N,Y,N,0.0,0.0
39-02,39-02,ПЛАТЬЕ,N,Y,N,0.0,0.0
39-07,39-07,ПЛАТЬЕ,N,Y,N,0.0,0.0
39-09,39-09,ПЛАТЬЕ,N,Y,N,0.0,0.0
39-12,39-12,кафтан,N,Y,N,0.0,0.0
39-17,39-17,ПЛАТЬЕ,N,Y,N,0.0,0.0
39-22,39-22,ПЛАТЬЕ,N,Y,N,0.0,0.0
39-27,39-27,КЕЙП,N,Y,N,0.0,0.0
40-02,40-02,жакет,N,Y,N,0.0,0.0
40-03,40-03,брюки,N,Y,N,0.0,0.0
40-05,40-05,КОСТЮМ,N,Y,N,0.0,0.0
40-06,40-06,КОСТЮМ,N,Y,N,0.0,0.0
