article_norm,collection_types,collection_orders_n,collection_sale_eur,in_stock_cost_move,stock_name,stock_qty_sum,stock_cost_rub_sum,in_sku_master,sku_name,in_alias_master,alias_status,link_coverage,priority,so_t
0-2027К,cruise,1,1760.0,Y,"Платье-кафтан женское, красное с принтом ""цветы и грибы"", из шелка, декорировано тесьмой ""кристалл""",0.0,0.0,Y,"Платье-кафтан женское, красное с принтом ""цветы и грибы"", из шелка, декорировано тесьмой ""кристалл""",N,,FULL,LOW,N
0-3378В,cruise,3,1752.0,N,,,,N,,N,,NONE,LOW,N
0-2845,cruise,9,1715.0,Y,"Свитшот женский, бежевый, из футера, с декором принт ""Champayne o' clock""",6.0,18515.52,Y,"Свитшот женский, бежевый, из футера, с декором принт ""Champayne o' clock""",N,,FULL,LOW,N
0-3373А,cruise,6,1701.0,N,,,,N,,N,,NONE,LOW,N
0-2845В,cruise,10,1695.0,N,,,,N,,N,,NONE,LOW,N
47-07,collection,2,1680.0,N,,,,N,,N,,NONE,LOW,N
0-3142,cruise,1,1680.0,N,,,,N,,N,,NONE,LOW,N
0-3158,cruise,1,1680.0,N,,,,N,,N,,NONE,LOW,N
0-3395А,cruise,1,1680.0,N,,,,N,,N,,NONE,LOW,N
0-2788,cruise,2,1670.0,N,,,,N,,N,,NONE,LOW,N
0-2886,cruise,1,1670.0,N,,,,N,,N,,NONE,LOW,N
0-1998F,cruise,1,1670.0,N,,,,N,,N,,NONE,LOW,N
0-2496А,cruise,1,1670.0,N,,,,N,,N,,NONE,LOW,N
0-3132,cruise,1,1650.0,N,,,,N,,N,,NONE,LOW,N
0-3371В,cruise,2,1648.0,N,,,,N,,N,,NONE,LOW,N
0-3179А,cruise,6,1642.0,N,,,,N,,N,,NONE,LOW,N
0-3372С,cruise,4,1641.0,N,,,,N,,N,,NONE,LOW,N
0-3154В,cruise,2,1639.0,N,,,,N,,N,,NONE,LOW,N
0-3133,cruise,2,1629.0,N,,,,Y,"Платье женское, белое с принтом ""зеленый горох""",N,,SKU_ONLY,LOW,N
0-2556А,cruise,2,1620.0,N,,,,N,,N,,NONE,LOW,N
0-3156А,cruise,3,1607.0,N,,,,N,,N,,NONE,LOW,N
0-3120А,cruise,1,1600.0,N,,,,N,,N,,NONE,LOW,N
0-2237,cruise,1,1600.0,N,,,,N,,N,,NONE,LOW,N
0-3416,cruise,2,1600.0,N,,,,N,,N,,NONE,LOW,N
0-1338,nye,1,1576.0,N,,,,N,,N,,NONE,LOW,N
0-3162,cruise,1,1576.0,N,,,,Y,"Пальто-халат женское, белое с принтом ""Гжель"" из шифона, с рукавом ""кимоно""",N,,SKU_ONLY,LOW,N
0-2546,cruise,1,1576.0,N,,,,N,,N,,NONE,LOW,N
0-3223В,capsule,2,1540.0,N,,,,N,,N,,NONE,LOW,N
0-2898,cruise,2,1540.0,N,,,,N,,N,,NONE,LOW,N
0-2845А,cruise,10,1539.0,N,,,,N,,N,,NONE,LOW,N
0-3098,nye,2,1504.0,N,,,,N,,N,,NONE,LOW,N
0-3368В,cruise,2,1503.0,N,,,,N,,N,,NONE,LOW,N
0-3379,cruise,1,1503.0,N,,,,N,,N,,NONE,LOW,N
0-3408А,cruise,1,1503.0,N,,,,N,,N,,NONE,LOW,N
0-3144,cruise,1,1496.0,N,,,,N,,N,,NONE,LOW,N
0-3179,cruise,4,1484.0,N,,,,N,,N,,NONE,LOW,N
0-2850,cruise,1,1477.0,N,,,,N,,N,,NONE,LOW,N
0-3390,cruise,1,1470.0,N,,,,N,,N,,NONE,LOW,N
0-2878,cruise,1,1470.0,N,,,,N,,N,,NONE,LOW,N
0-3371,cruise,2,1455.0,N,,,,N,,N,,NONE,LOW,N
0-3257,capsule,2,1440.0,N,,,,N,,N,,NONE,LOW,N
0-2921,cruise,5,1432.0,N,,,,N,,N,,NONE,LOW,N
0-2493,cruise,1,1420.0,Y,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими бретелями-завязками",26.0,310999.52,Y,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими бретелями-завязками",N,,FULL,LOW,N
0-3135А,cruise,1,1419.0,N,,,,N,,N,,NONE,LOW,N
0-3147,cruise,2,1402.0,N,,,,N,,N,,NONE,LOW,N
0-3178,cruise,12,1402.0,N,,,,N,,N,,NONE,LOW,N
0-2902,cruise,1,1400.0,N,,,,N,,N,,NONE,LOW,N
0-2870,cruise,2,1399.0,N,,,,N,,N,,NONE,LOW,N
0-3227,capsule|cruise,2,1392.0,N,,,,N,,N,,NONE,LOW,N
0-3154,cruise,2,1358.0,N,,,,Y,"Блуза женская, белая с принтом ""зеленый горох"", из батиста",N,,SKU_ONLY,LOW,N
0-3133А,cruise,2,1348.0,N,,,,N,,N,,NONE,LOW,N
0-3118,cruise,1,1336.0,N,,,,Y,"Платье-кафтан женское, черное с принтом ""белые Y, грибы"", из шелка",N,,SKU_ONLY,LOW,N
0-3118А,cruise,1,1336.0,N,,,,N,,N,,NONE,LOW,N
0-3400В,cruise,1,1336.0,N,,,,N,,N,,NONE,LOW,N
0-2868А,cruise,1,1336.0,N,,,,N,,N,,NONE,LOW,N
0-2791,cruise,1,1330.0,N,,,,N,,N,,NONE,LOW,N
0-2903,cruise,3,1330.0,N,,,,N,,N,,NONE,LOW,N
0-2032С,cruise,2,1312.0,N,,,,N,,N,,NONE,LOW,N
0-3120,cruise,1,1280.0,N,,,,Y,"Платье женское, красное с принтом ""цветы, грибы"", из шелка",N,,SKU_ONLY,LOW,N
0-1998,cruise,1,1280.0,N,,,,N,,N,,NONE,LOW,N
0-3412,cruise,1,1260.0,N,,,,N,,N,,NONE,LOW,N
0-3400А,cruise,1,1252.0,N,,,,N,,N,,NONE,LOW,N
0-2487Е,cruise,1,1252.0,N,,,,N,,N,,NONE,LOW,N
0-3119А,cruise,1,1249.0,N,,,,N,,N,,NONE,LOW,N
0-2789,cruise,1,1249.0,N,,,,N,,N,,NONE,LOW,N
0-2844,cruise,2,1249.0,N,,,,N,,N,,NONE,LOW,N
0-2887,cruise,1,1200.0,N,,,,N,,N,,NONE,LOW,N
0-2904,cruise,2,1182.0,N,,,,N,,N,,NONE,LOW,N
0-3122,cruise,1,1176.0,N,,,,Y,"Блуза женская, синяя с принтом ""цветы, грибы, девочки"", крупный микс, из шелка",N,,SKU_ONLY,LOW,N
0-3380,cruise,1,1176.0,N,,,,N,,N,,NONE,LOW,N
0-3396А,cruise,1,1176.0,N,,,,N,,N,,NONE,LOW,N
0-3399,cruise,1,1176.0,N,,,,N,,N,,NONE,LOW,N
0-2896,cruise,1,1170.0,N,,,,N,,N,,NONE,LOW,N
0-2548А,cruise,1,1170.0,N,,,,N,,N,,NONE,LOW,N
0-2868,cruise,1,1169.0,N,,,,N,,N,,NONE,LOW,N
0-2881,cruise,1,1169.0,N,,,,N,,N,,NONE,LOW,N
0-3179В,cruise,4,1146.0,N,,,,N,,N,,NONE,LOW,N
0-3393А,cruise,1,1143.0,N,,,,N,,N,,NONE,LOW,N
0-3091D,nye,1,1120.0,N,,,,N,,N,,NONE,LOW,N
0-3195,capsule,1,1100.0,N,,,,N,,N,,NONE,LOW,N
0-3172,cruise,1,1080.0,N,,,,N,,N,,NONE,LOW,N
0-3369В,cruise,2,1080.0,N,,,,N,,N,,NONE,LOW,N
0-3410А,cruise,1,1080.0,N,,,,N,,N,,NONE,LOW,N
0-2923,cruise,2,1079.0,N,,,,N,,N,,NONE,LOW,N
0-2930,cruise,3,1057.0,N,,,,N,,N,,NONE,LOW,N
0-3178А,cruise,9,1049.0,N,,,,N,,N,,NONE,LOW,N
0-3119,cruise,1,1029.0,N,,,,Y,"Платье-кафтан женское, белое с принтом ""цветы, грибы"", из шелка",N,,SKU_ONLY,LOW,N
0-2877,cruise,3,1029.0,N,,,,N,,N,,NONE,LOW,N
0-2928,cruise,1,1029.0,N,,,,N,,N,,NONE,LOW,N
0-3087В,nye,3,1020.0,N,,,,N,,N,,NONE,LOW,N
0-3136А,cruise,1,1020.0,N,,,,N,,N,,NONE,LOW,N
0-3154А,cruise,1,1020.0,N,,,,N,,N,,NONE,LOW,N
0-3180D,cruise,2,1020.0,N,,,,N,,N,,NONE,LOW,N
0-3378,cruise,2,1005.0,N,,,,N,,N,,NONE,LOW,N
0-2901,cruise,1,1000.0,N,,,,N,,N,,NONE,LOW,N
0-3265А,capsule,3,997.0,N,,,,N,,N,,NONE,LOW,N
0-2989,capsule,1,985.0,N,,,,N,,N,,NONE,LOW,N
0-3226,capsule,1,960.0,N,,,,N,,N,,NONE,LOW,N
0-3123,cruise,1,960.0,N,,,,Y,"Брюки женские, синие с принтом ""цветы грибы"", из шифона",N,,SKU_ONLY,LOW,N
0-3136,cruise,1,960.0,N,,,,Y,"Брюки женские, белые с принтом ""черные ласточки"", из шелка",N,,SKU_ONLY,LOW,N
0-3163,cruise,1,960.0,N,,,,Y,"Брюки женские, белые с принтом ""гжель"" из шифона",N,,SKU_ONLY,LOW,N
0-3180А,cruise,2,960.0,N,,,,N,,N,,NONE,LOW,N
T-2541/2,cruise,1,960.0,Y,"Брюки женские, голубые с принтом ""большие синие капли"", из шелка",42.0,498760.08,Y,"Брюки женские, голубые с принтом ""большие синие капли"", из шелка",N,,FULL,LOW,N
0-3388,cruise,1,960.0,N,,,,N,,N,,NONE,LOW,N
0-3096А,nye,2,950.0,N,,,,N,,N,,NONE,LOW,N
Т-2251А,cruise,1,935.0,N,,,,N,,N,,NONE,LOW,N
0-2480В,cruise,1,935.0,N,,,,N,,N,,NONE,LOW,N
0-3251,nye,1,900.0,N,,,,N,,N,,NONE,LOW,N
0-3180,cruise,1,900.0,N,,,,N,,N,,NONE,LOW,N
0-3389,cruise,1,900.0,N,,,,N,,N,,NONE,LOW,N
0-3419А,cruise,1,900.0,N,,,,N,,N,,NONE,LOW,N
0-3364,cruise,11,892.0,Y,"Брошь серая, из рафия, ""колосок""",4.0,15500.0,Y,"Брошь серая, из рафия, ""колосок""",N,,FULL,LOW,N
0-3394А,cruise,1,873.0,N,,,,N,,N,,NONE,LOW,N
0-2991,capsule,3,857.0,N,,,,N,,N,,NONE,LOW,N
0-3022,capsule,1,840.0,N,,,,N,,N,,NONE,LOW,N
0-3110,cruise,1,840.0,N,,,,Y,"Брюки женские, голубые с принтом ""цветы, грибы"", из шелка",N,,SKU_ONLY,LOW,N
0-3419D,cruise,1,840.0,N,,,,N,,N,,NONE,LOW,N
0-2882,cruise,1,840.0,N,,,,N,,N,,NONE,LOW,N
46-05,collection,1,824.0,N,,,,N,,N,,NONE,LOW,N
0-2756В,capsule,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-3146А,cruise,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-3171,cruise,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-3387,cruise,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-3387А,cruise,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-3394,cruise,1,776.0,N,,,,N,,N,,NONE,LOW,N
0-2869,cruise,2,776.0,N,,,,N,,N,,NONE,LOW,N
0-3117А,cruise,2,775.0,N,,,,N,,N,,NONE,LOW,N
0-2790,cruise,1,770.0,N,,,,N,,N,,NONE,LOW,N
0-3367,cruise,2,752.0,N,,,,N,,N,,NONE,LOW,N
0-3262,capsule,2,727.0,N,,,,N,,N,,NONE,LOW,N
0-3263,capsule,2,727.0,N,,,,N,,N,,NONE,LOW,N
0-3154С,cruise,2,720.0,N,,,,N,,N,,NONE,LOW,N
0-3373В,cruise,2,714.0,N,,,,N,,N,,NONE,LOW,N
0-3257С,capsule,1,696.0,N,,,,N,,N,,NONE,LOW,N
0-3109,cruise,1,679.0,N,,,,Y,"Жилет женский, голубой с принтом ""цветы, грибы"" из шифона",N,,SKU_ONLY,LOW,N
0-3146В,cruise,1,679.0,N,,,,N,,N,,NONE,LOW,N
0-3420,cruise,1,679.0,N,,,,N,,N,,NONE,LOW,N
0-2250А,cruise,1,679.0,N,,,,N,,N,,NONE,LOW,N
0-3373,cruise,2,630.0,N,,,,N,,N,,NONE,LOW,N
0-2481D,cruise,1,612.0,Y,"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кантом",12.0,58774.08,Y,"Брюки женские, белые с принтом ""оранжево-черные Y"", из батиста, с оранжевым кантом",N,,FULL,LOW,N
0-3376,cruise,1,603.0,N,,,,N,,N,,NONE,LOW,N
0-2853,cruise,1,600.0,N,,,,N,,N,,NONE,LOW,N
ИМ-2406,capsule,1,576.0,N,,,,N,,N,,NONE,LOW,N
0-2973,cruise,1,570.0,N,,,,N,,N,,NONE,LOW,N
0-3155,cruise,2,555.0,N,,,,Y,"Шорты женские, белые с принтом ""зеленый горох"", из батиста, с каймой",N,,SKU_ONLY,LOW,N
0-3164,cruise,1,536.0,N,,,,Y,"Блуза-топ женская, белая, из шелка, с открытой спиной",N,,SKU_ONLY,LOW,N
0-3378А,cruise,1,536.0,N,,,,N,,N,,NONE,LOW,N
0-3156С,cruise,2,500.0,N,,,,N,,N,,NONE,LOW,N
0-3156В,cruise,1,469.0,N,,,,N,,N,,NONE,LOW,N
0-3372,cruise,1,469.0,N,,,,N,,N,,NONE,LOW,N
0-3415,cruise,1,469.0,N,,,,N,,N,,NONE,LOW,N
0-2922,cruise,1,456.0,N,,,,N,,N,,NONE,LOW,N
0-2860,cruise,3,400.0,N,,,,N,,N,,NONE,LOW,N
0-2573В,cruise,1,400.0,N,,,,N,,N,,NONE,LOW,N
БЧ-2024,nye,1,382.0,N,,,,N,,N,,NONE,LOW,N
0-3117,cruise,1,376.0,N,,,,Y,"Шорты женские, черные, из джинсового хлопка",N,,SKU_ONLY,LOW,N
0-3062В,cruise,1,360.0,N,,,,N,,N,,NONE,LOW,N
0-3373С,cruise,3,336.0,N,,,,N,,N,,NONE,LOW,N
43-06,collection,2,329.0,N,,,,N,,N,,NONE,LOW,N
0-2050,cruise,1,329.0,Y,"Шорты женские, белые с принтом ""Y"", из шелка, с черным кантом",2.0,8419.5,Y,"Шорты женские, белые с принтом ""Y"", из шелка, с черным кантом",N,,FULL,LOW,N
0-3155А,cruise,1,314.0,N,,,,N,,N,,NONE,LOW,N
0-3155В,cruise,1,296.0,N,,,,N,,N,,NONE,LOW,N
0-2050В,cruise,1,280.0,N,,,,N,,N,,NONE,LOW,N
0-3134,cruise,1,259.0,N,,,,Y,"Шорты женские, белые с принтом ""зеленый горох""",N,,SKU_ONLY,LOW,N
0-3134В,cruise,1,259.0,N,,,,N,,N,,NONE,LOW,N
0-3366,cruise,1,216.0,N,,,,N,,N,,NONE,LOW,N
0-3081,nye,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3091С,nye,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3096В,nye,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3000,capsule,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3200А,capsule,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3223,capsule,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3279,capsule,1,0.0,N,,,,N,,N,,NONE,LOW,N
43-18,collection,1,0.0,N,,,,N,,N,,NONE,LOW,N
45-08,collection,1,0.0,N,,,,N,,N,,NONE,LOW,N
46-15,collection,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-2548,cruise,1,0.0,N,,,,Y,"Платье-кафтан женское, серое с принтом ""цветок"" из шелка, с длинным рукавом",N,,SKU_ONLY,LOW,N
0-3149А,cruise,3,0.0,N,,,,N,,N,,NONE,LOW,N
0-3180Е,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-1559А,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-2050/4,cruise,1,0.0,Y,"Шорты женские, белые с принтом ""цветы"", из батиста, декорированы каймой",2.0,10552.0,Y,"Шорты женские, белые с принтом ""цветы"", из батиста, декорированы каймой",N,,FULL,LOW,N
0-3372В,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3375,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3398,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-3399А,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-2875,cruise,1,0.0,N,,,,N,,N,,NONE,LOW,N
0-2879,cruise,2,0.0,N,,,,N,,N,,NONE,LOW,N
0-2880,cruise,2,0.0,N,,,,N,,N,,NONE,LOW,N
