material_movement_id,material_id,name,article_hint,qty,amount_rub,unit_cost_rub,snapshot_date,warehouse,movement_type,source_file_id,source_row_id
MAT-2b181269d2551428,MAT-2b181269d2551428,"Парча, черный с белым 15-023",15-023,8.0,16000.0,2000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r325
MAT-556bb527287453a0,MAT-556bb527287453a0,"СЕТКА лагатолла, зеленый 22-Л-007",,26.5,29150.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r326
MAT-d7c1f9dcf633b014,MAT-d7c1f9dcf633b014,"СЕТКА лагатолла, пудра 22-Л-009",,2.5,2750.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r327
MAT-5f9d88e56fc5b744,MAT-5f9d88e56fc5b744,"СЕТКА лагатолла, черный 22-Л-002",,3.0,3300.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r328
MAT-09fa1432e1395b2a,MAT-09fa1432e1395b2a,Сетка черная 22-Ж-001,,10.0,999.6,99.96,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r329
MAT-5ca9c22bcfddc3c2,MAT-5ca9c22bcfddc3c2,"Сетка, бежевый 22-033",22-033,142.6,16370.43,114.8,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r330
MAT-39ad9107202d00b1,MAT-39ad9107202d00b1,"Сетка, белая 22-Ж-002",,44.5,4448.22,99.96,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r331
MAT-903530095e786911,MAT-903530095e786911,"Сетка, белая блестящая 22-029",22-029,18.0,5400.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r332
MAT-adc00317365bd72d,MAT-adc00317365bd72d,"Сетка, белая горошек 0,5 белый 22-006",22-006,14.5,7250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r333
MAT-97632dea816a254e,MAT-97632dea816a254e,"Сетка, белая горошек белый 1см 22-009",22-009,10.5,5250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r334
MAT-8c838f393c4e2d57,MAT-8c838f393c4e2d57,"Сетка, белая пшенка белая 22-003",22-003,3.3,1650.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r335
MAT-ee6bc8640660bb03,MAT-ee6bc8640660bb03,"Сетка, белая с золотом 22-002",22-002,5.5,2200.0,400.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r336
MAT-8dcf77edeafb4516,MAT-8dcf77edeafb4516,"Сетка, желтая 22-035",22-035,56.4,5640.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r337
MAT-e828da432bb55a74,MAT-e828da432bb55a74,"Сетка, коралловый 22-037",22-037,23.5,2350.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r338
MAT-3820d491e828d009,MAT-3820d491e828d009,"Сетка, коричневая 22-024",22-024,17.5,5250.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r339
MAT-63f9d84315909a59,MAT-63f9d84315909a59,"Сетка, красный 22-045",22-045,32.7,3270.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r340
MAT-daf46f2b8f5a9e4f,MAT-daf46f2b8f5a9e4f,"Сетка, розовый 22-030",22-030,30.5,9150.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r341
MAT-8ac0802a196c325d,MAT-8ac0802a196c325d,"Сетка, розовый 22-053",22-053,43.8,4380.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r342
MAT-ba965c0dfe3bdecc,MAT-ba965c0dfe3bdecc,"Сетка, салатовый 22-034",22-034,34.8,3480.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r343
MAT-d0e8a2e8f51fc07d,MAT-d0e8a2e8f51fc07d,"Сетка, серый 22-056",22-056,33.4,3340.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r344
MAT-09d3e3737a913874,MAT-09d3e3737a913874,"Сетка, синий 22-042",22-042,5.0,500.0,100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r345
MAT-c429dde5fbcbda6b,MAT-c429dde5fbcbda6b,"Сетка, телесная пшенка черная 22-004",22-004,7.6,3800.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r346
MAT-01dc228edd6af3a1,MAT-01dc228edd6af3a1,"Сетка, трикотажная бежевая 22-021",22-021,8.8,9680.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r347
MAT-effc70d234da08ec,MAT-effc70d234da08ec,"Сетка, трикотажная светло-бежевая 22-059",22-059,3.2,3520.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r348
MAT-9d65c541db2a0cfc,MAT-9d65c541db2a0cfc,"Сетка, хлопок бордовый 22-013",22-013,2.4,1200.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r349
MAT-0abb6c16d9b41941,MAT-0abb6c16d9b41941,"Сетка, хлопок коричневый 22-014",22-014,50.5,25250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r350
MAT-b0721f2f955c64e6,MAT-b0721f2f955c64e6,"Сетка, черная горошек 0,5 черная 22-007",22-007,29.5,14750.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r351
MAT-0f90055914164f9d,MAT-0f90055914164f9d,"Сетка, черная горошек белый 1см 22-008",22-008,2.7,1350.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r352
MAT-0abf4e225b0b18ac,MAT-0abf4e225b0b18ac,"Сетка, черная пшенка черная 22-005",22-005,5.0,2500.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r353
MAT-d48b9f596c9c8e05,MAT-d48b9f596c9c8e05,"Сетка, черный 22-022",22-022,4.0,4400.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r354
MAT-4f0a06c148b1ac78,MAT-4f0a06c148b1ac78,Синтетическая ткань  белый эко-шелк 20-027,20-027,2.0,2200.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r355
MAT-86e02f5cfc54a30e,MAT-86e02f5cfc54a30e,Синтетическая ткань  бордовый эко-шелк 20-021,20-021,10.0,5000.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r356
MAT-f81f142134487d39,MAT-f81f142134487d39,Синтетическая ткань бежевый 20-017,20-017,2.95,1475.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r357
MAT-2c850ea0bf3d0639,MAT-2c850ea0bf3d0639,Синтетическая ткань бежевый эко-шелк 20-018,20-018,9.0,4500.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r358
MAT-7406b5d822900aea,MAT-7406b5d822900aea,Синтетическая ткань белый эко-шелк 20-015,20-015,31.5,9008.64,285.99,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r359
MAT-07ecd06382b8eea1,MAT-07ecd06382b8eea1,Синтетическая ткань белый-атлас  20-031,20-031,41.5,26975.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r360
MAT-26767e5b3e58adc9,MAT-26767e5b3e58adc9,Синтетическая ткань бордовый эко-шелк 20-032,20-032,8.4,4200.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r361
MAT-859ff1a05b79f787,MAT-859ff1a05b79f787,Синтетическая ткань голубой 20-007,20-007,6.2,4340.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r362
MAT-669c6422c4e25a20,MAT-669c6422c4e25a20,Синтетическая ткань жемчужный эко-шелк 20-026,20-026,17.5,8750.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r363
MAT-35abd105b94c775c,MAT-35abd105b94c775c,Синтетическая ткань зеленый светлый 20-009,20-009,9.0,6300.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r364
MAT-13f860e242c91c67,MAT-13f860e242c91c67,Синтетическая ткань зеленый эко-шелк 20-024,20-024,4.85,1455.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r365
MAT-2fd30510c747e41f,MAT-2fd30510c747e41f,Синтетическая ткань красный 20-012,20-012,7.5,5250.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r366
MAT-8544c0592fa561af,MAT-8544c0592fa561af,Синтетическая ткань красный атлас плотный 20-030,20-030,15.3,16830.0,1100.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r367
MAT-329a27a3cc56bd86,MAT-329a27a3cc56bd86,Синтетическая ткань красный эко-шелк 20-019,20-019,3.25,975.0,300.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r368
MAT-8440b507a582a563,MAT-8440b507a582a563,Синтетическая ткань красный-морковный 20-005,20-005,5.3,3710.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r369
MAT-813e7b9898bb9e6e,MAT-813e7b9898bb9e6e,Синтетическая ткань мелкие цветы 20А-002,,44.5,22250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r370
MAT-571bf3dff8dec641,MAT-571bf3dff8dec641,Синтетическая ткань оранжевый эко-шелк 20-023,20-023,23.3,11650.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r371
MAT-793e84451ba920c7,MAT-793e84451ba920c7,Синтетическая ткань полоска с барсуком 20-008,20-008,20.0,14000.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r372
MAT-21bac1dc9fb5bc32,MAT-21bac1dc9fb5bc32,Синтетическая ткань розовый 20-003,20-003,1.7,1190.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r373
MAT-16934bd50c50f6f8,MAT-16934bd50c50f6f8,Синтетическая ткань розовый 20-013,20-013,35.0,24500.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r374
MAT-c2f73b69c2364fc5,MAT-c2f73b69c2364fc5,Синтетическая ткань розовый в белый горох 20-014,20-014,23.0,16100.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r375
MAT-2b562e309f94ac14,MAT-2b562e309f94ac14,Синтетическая ткань серый светлый эко-шелк 20-033,20-033,13.5,6750.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r376
MAT-fd006e20e63e01fe,MAT-fd006e20e63e01fe,Синтетическая ткань серый эко-шелк 20-025,20-025,15.35,7675.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r377
MAT-e3d0ed9e979560be,MAT-e3d0ed9e979560be,Синтетическая ткань фиолетовый эко-шелк 20-022,20-022,24.5,12250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r378
MAT-dfe42302afdea8a9,MAT-dfe42302afdea8a9,Синтетическая ткань фуксия эко-шелк 20-020,20-020,17.3,8650.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r379
MAT-9ba3350a0838e33e,MAT-9ba3350a0838e33e,Синтетическая ткань цветной атлас  20-036,20-036,7.7,3850.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r380
MAT-bffdda497c25ad2b,MAT-bffdda497c25ad2b,Синтетическая ткань черно-белый леопард 20-001,20-001,12.5,8750.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r381
MAT-1761cd4d188666fb,MAT-1761cd4d188666fb,Синтетическая ткань черный атлас без стрейча 20-035,20-035,2.8,1400.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r382
MAT-72179fb79997a6fd,MAT-72179fb79997a6fd,Синтетическая ткань черный в белая пшенка 20-002,20-002,2.3,1610.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r383
MAT-f69f3596ce139afe,MAT-f69f3596ce139afe,Синтетическая ткань черный в белый горох 20-004,20-004,18.0,12600.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r384
MAT-11aa868f55ed7bde,MAT-11aa868f55ed7bde,Синтетическая ткань черный эко-шелк 20-029,20-029,12.6,6300.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r385
MAT-63d2a29fc40d679a,MAT-63d2a29fc40d679a,Синтетическая ткань черный- атлас плотный 20-028,20-028,31.6,27289.35,863.59,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r386
MAT-bb5ef6a1099e4b0a,MAT-bb5ef6a1099e4b0a,"Синтетическая ткань, черный армани 20-016",20-016,31.9,7459.64,233.84,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r387
MAT-463a7b0d8371d178,MAT-463a7b0d8371d178,"Тафта авторская, цветок-купон 2A-002",,21.5,77400.0,3600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r388
MAT-a353663a24402374,MAT-a353663a24402374,Тафта бежевая 2-035,2-035,1.5,3300.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r389
MAT-fb7d1fdc62314459,MAT-fb7d1fdc62314459,Тафта искусственная черная 2-И-003,,7.7,3917.76,508.8,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r390
MAT-2ac21573e7fb0a6c,MAT-2ac21573e7fb0a6c,"Тафта-хамелеон, бежевый с синим 2-И-001",,24.4,53680.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r391
MAT-a9051480cadb2642,MAT-a9051480cadb2642,"Тафта, голубой 2-003",2-003,12.6,27720.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r392
MAT-facb3e1df1313ec0,MAT-facb3e1df1313ec0,"Тафта, зеленый 2-005",2-005,5.4,11880.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r393
MAT-0e25ef9e815f77d3,MAT-0e25ef9e815f77d3,"Тафта, зеленый 2-006",2-006,11.2,24640.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r394
MAT-daf7f6852081a48f,MAT-daf7f6852081a48f,"Тафта, зеленый 2-013",2-013,9.6,21120.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r395
MAT-5edd63b25b1178b2,MAT-5edd63b25b1178b2,"Тафта, зеленый 2-039",2-039,14.9,32780.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r396
MAT-3f5785197d934bb2,MAT-3f5785197d934bb2,"Тафта, золотой 2-033",2-033,15.5,34100.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r397
MAT-b307144d03d8b1a2,MAT-b307144d03d8b1a2,"Тафта, кирпичный 2-037",2-037,13.5,29700.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r398
MAT-2c0edd04c578d97b,MAT-2c0edd04c578d97b,"Тафта, коричневый 2-008",2-008,5.0,11000.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r399
MAT-230eefcc81d08a55,MAT-230eefcc81d08a55,"Тафта, коричневый 2-010",2-010,11.3,24860.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r400
MAT-db6a4b554427ce5b,MAT-db6a4b554427ce5b,"Тафта, коричневый 2-011",2-011,12.4,27280.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r401
MAT-d16020ac76c4e27d,MAT-d16020ac76c4e27d,"Тафта, коричневый, кромка зеленая с фиолетовым 2-009",2-009,17.9,39380.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r402
MAT-2be2f262cd05003d,MAT-2be2f262cd05003d,"Тафта, красно-оранжевый 2-036",2-036,23.15,50930.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r403
MAT-0c4ccf504c6ba0b1,MAT-0c4ccf504c6ba0b1,"Тафта, молочный 2-002",2-002,10.3,22660.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r404
MAT-e80ad7951a4c3dcf,MAT-e80ad7951a4c3dcf,"Тафта, морская волна 2-021",2-021,14.7,32340.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r405
MAT-0c559991ffbd0bb6,MAT-0c559991ffbd0bb6,"Тафта, морская волна 2-022",2-022,4.1,9020.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r406
MAT-119399c14d94db02,MAT-119399c14d94db02,"Тафта, морская волна 2-040",2-040,4.4,9680.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r407
MAT-5f5aefcccf541e9b,MAT-5f5aefcccf541e9b,"Тафта, оранжевый 2-016",2-016,23.3,51260.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r408
MAT-9374e5c4d196392d,MAT-9374e5c4d196392d,"Тафта, перламутровая 2-014",2-014,2.9,6380.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r409
MAT-c3bf5d1fe9899c0a,MAT-c3bf5d1fe9899c0a,"Тафта, серый 2-028",2-028,7.0,15400.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r410
MAT-74b80b9ee6c94167,MAT-74b80b9ee6c94167,"Тафта, серый 2-032",2-032,19.0,41800.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r411
MAT-a9c4be92892e1797,MAT-a9c4be92892e1797,"Тафта, серый 2-О-005",,4.7,10340.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r412
MAT-540e5ff252c5297a,MAT-540e5ff252c5297a,"Тафта, синий 2-025",2-025,5.0,11000.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r413
MAT-d39ecffac1d12452,MAT-d39ecffac1d12452,"Тафта, синий 2-026",2-026,12.75,28050.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r414
MAT-cf2520f5819a3cba,MAT-cf2520f5819a3cba,"Тафта, синий 2-030",2-030,5.0,11000.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r415
MAT-21e90d19854bcfa2,MAT-21e90d19854bcfa2,"Тафта, темно-бежевый 2-038",2-038,13.95,30690.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r416
MAT-442a783e4b3eda16,MAT-442a783e4b3eda16,"Тафта, фиолетовый 2-018",2-018,15.8,34760.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r417
MAT-82c7bff8548db8d6,MAT-82c7bff8548db8d6,"Тафта, фиолетовый 2-019",2-019,4.3,9460.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r418
MAT-576ec7ec3cce794e,MAT-576ec7ec3cce794e,"Тафта, фиолетовый 2-041",2-041,5.0,11000.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r419
MAT-e467d7559e365fa4,MAT-e467d7559e365fa4,"Тафта, хаки 2-029",2-029,16.6,36520.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r420
MAT-f5c58c7309cfd6eb,MAT-f5c58c7309cfd6eb,"Тафта, хамелеон красный 2-042",2-042,16.2,35640.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r421
MAT-3b632a762888e16d,MAT-3b632a762888e16d,"Тафта, ягодный 2-024",2-024,8.2,18040.0,2200.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r422
MAT-4d892ede278d5216,MAT-4d892ede278d5216,Трикотаж бежевый 23-010,23-010,30.5,15250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r423
MAT-b2b9c27d12b737a3,MAT-b2b9c27d12b737a3,Трикотаж бежевый 23-038,23-038,9.0,4500.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r424
MAT-3bbe6846a94edf95,MAT-3bbe6846a94edf95,Трикотаж бежевый джерси 23-040,23-040,8.3,7470.0,900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r425
MAT-c393bf7ff7e17df5,MAT-c393bf7ff7e17df5,Трикотаж бежевый масло  23-009,23-009,7.4,3700.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r426
MAT-b14c0e20274e4f4e,MAT-b14c0e20274e4f4e,Трикотаж бежевый тонкий 23-050,23-050,14.0,7000.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r427
MAT-6dcf609af701e4a2,MAT-6dcf609af701e4a2,"Трикотаж бежевый, под шерсть 23-020",23-020,11.5,7475.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r428
MAT-83442e4696971633,MAT-83442e4696971633,Трикотаж белый 23-048,23-048,10.6,5300.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r429
MAT-8e33d1f2072bd783,MAT-8e33d1f2072bd783,Трикотаж белый марля  23-014,23-014,4.8,2400.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r430
MAT-a1f85ee900220224,MAT-a1f85ee900220224,Трикотаж бифлекс бежевый 23-005,23-005,7.5,7500.0,1000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r431
MAT-88a14c2c95a562df,MAT-88a14c2c95a562df,Трикотаж бифлекс серый 23-015,23-015,19.0,19000.0,1000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r432
MAT-61bf81ffb8b8edc4,MAT-61bf81ffb8b8edc4,Трикотаж вязаный черный 23-036,23-036,4.0,3200.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r433
MAT-81a67f97bf044d45,MAT-81a67f97bf044d45,Трикотаж голубой футболочный 23-057,23-057,31.7,15850.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r434
MAT-c1723a5611f26c60,MAT-c1723a5611f26c60,Трикотаж горох шерсть 23-055,23-055,11.5,11500.0,1000.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r435
MAT-3740a806a313b354,MAT-3740a806a313b354,"Трикотаж графит, под шерсть 23-021",23-021,15.8,10270.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r436
MAT-c2d7b2aceb3cfac5,MAT-c2d7b2aceb3cfac5,Трикотаж зеленый джерси 23-042,23-042,10.5,9450.0,900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r437
MAT-857aa3d63e2345f1,MAT-857aa3d63e2345f1,Трикотаж зеленый футболочный 23-056,23-056,26.6,13300.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r438
MAT-17787b69435435a6,MAT-17787b69435435a6,"Трикотаж италия, голубой масло 23-052",23-052,7.2,10800.0,1500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r439
MAT-3ae2fbbb66b18a7a,MAT-3ae2fbbb66b18a7a,"Трикотаж италия, красный масло 23-053",23-053,9.0,13500.0,1500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r440
MAT-3921a7904747570d,MAT-3921a7904747570d,Трикотаж красный футболочный 23-060,23-060,30.7,15350.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r441
MAT-2a81b2f5ea5706e9,MAT-2a81b2f5ea5706e9,Трикотаж леопард 23-037,23-037,11.2,5600.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r442
MAT-c444dae5bfbbd705,MAT-c444dae5bfbbd705,Трикотаж масло крупные горохи 23-043,23-043,19.0,9500.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r443
MAT-d7a3fcd3a86a65eb,MAT-d7a3fcd3a86a65eb,Трикотаж масло пшенка 23-044,23-044,17.4,8700.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r444
MAT-fc86366d79a7abce,MAT-fc86366d79a7abce,Трикотаж масло разные горохи 23-045,23-045,14.1,7050.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r445
MAT-9feb3a0dacd5bd74,MAT-9feb3a0dacd5bd74,Трикотаж молочный 23-039,23-039,2.9,2610.0,900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r446
MAT-271db54baacb758e,MAT-271db54baacb758e,Трикотаж розовый футболочный 23-058,23-058,33.9,16950.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r447
MAT-eb97ceef86b8c29a,MAT-eb97ceef86b8c29a,"Трикотаж серый, под шерсть 23-016",23-016,26.5,17225.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r448
MAT-1f874146766c0b13,MAT-1f874146766c0b13,Трикотаж синий джерси 23-041,23-041,5.0,4500.0,900.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r449
MAT-e502437a817b0cb0,MAT-e502437a817b0cb0,Трикотаж темно-синий 23-034,23-034,5.0,4000.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r450
MAT-75e54968f1606437,MAT-75e54968f1606437,Трикотаж темно-синий 23-035,23-035,6.7,5360.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r451
MAT-51be1cd88c9f348c,MAT-51be1cd88c9f348c,Трикотаж темно-синий с ворсом 23-046,23-046,9.0,5850.0,650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r452
MAT-03bd096f0a1d6601,MAT-03bd096f0a1d6601,Трикотаж фуксия футболочный 23-059,23-059,40.3,20150.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r453
MAT-efb721835759388c,MAT-efb721835759388c,Трикотаж футболочный серый 23-047,23-047,30.2,15100.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r454
MAT-126dedbb28246179,MAT-126dedbb28246179,Трикотаж футер серый 23-019,23-019,6.9,4140.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r455
MAT-c3b2f2a85c9e8806,MAT-c3b2f2a85c9e8806,Трикотаж футер черный 23-017,23-017,22.3,13380.0,600.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r456
MAT-7cfb686395cf09ea,MAT-7cfb686395cf09ea,Трикотаж цветной 23-003,23-003,6.5,3250.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r457
MAT-570e4b97956a6ebe,MAT-570e4b97956a6ebe,Трикотаж цветной 23-051,23-051,6.0,4800.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r458
MAT-6b333ab942783dd3,MAT-6b333ab942783dd3,Трикотаж черный 23-032,23-032,9.0,7200.0,800.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r459
MAT-11ec8f5c7f70857d,MAT-11ec8f5c7f70857d,Трикотаж черный 23-049,23-049,76.0,38000.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r460
